Text C[GOHEAD-XNAPR]     "গোহেড-এক্সএনএপিআর"
Text F[Bill of Lading]     "বিল অফ লেডিং"
Text F[Delivery Note]     "চালান পত্র"
Text F[Document Date]     "লিপিবদ্ধকরনের তারিখ"
Text F[GODEFAULT_TV-BWART]     "GODEFAULT_TV-BWART"
Text F[GODEFAULT_TV-BWTXT]     "GODEFAULT_TV-BWTXT"
Text F[GODEFAULT_TV-SOBKZ]     "GODEFAULT_TV-SOBKZ"
Text F[GODYNPRO-ACTION]     "GODYNPRO-অ্যাকশন"
Text F[GODYNPRO-PO_ITEM]     "GODYNPRO-PO_ITEM"
Text F[GODYNPRO-PO_NUMBER]     "GODYNPRO-PO_NUMBER"
Text F[GODYNPRO-PRINT_TEXT]     "GODYNPRO-PRINT_TEXT"
Text F[GODYNPRO-REFDOC]     "GODYNPRO-REFDOC"
Text F[GODYNPRO-SEARCH_STRING]     "GODYNPRO-SEARCH_STRING"
Text F[GOHEAD-WEVER]     "GOHEAD- WEVER"
Text F[G_DUMMY_FIELD]     "G_DUMMY_FIELD"
Text F[HeaderText]     "শিরোনাম"
Text F[Posting Date]     "পোস্টিং তারিখ"
Text F[Search for]     "সন্ধান করা"
Text F[Telephone Number]     "টেলিফোন নাম্বার"
Text P[Close Detail Data]     "বিস্তারিত ডেটা বন্ধ করুন"
Text P[Close Header Data]     "শিরোনাম ডেটা বন্ধ করুন"
Text P[Contents]     "বিষয়বস্তু"
Text P[Delete]     "মুছে ফেলা"
Text P[Display Last Search Result]     "শেষ অনুসন্ধান ফলাফল প্রদর্শন করুন"
Text P[Distribute Qty]     "পরিমাণ বিতরণ"
Text P[Employee]     "কর্মচারী"
Text P[Execute]     "এক্সিকিউট"
Text P[Find Next]     "পরবর্তী খুঁজে"
Text P[Find Purch. Order]     "খুঁজুন. ক্রয় অর্ডার"
Text P[General]     "সাধারণ"
Text P[Material]     "উপাদান"
Text P[Next Item]     "পরবর্তী আইটেম"
Text P[Non-Ordered Item]     "অ-অর্ডার আইটেম"
Text P[Previous Item]     "পূর্ববর্তী আইটেম"
Text P[Quantity]     "পরিমাণ"
Text P[Search in Item Overview]     "আইটেম ওভারভিউ অনুসন্ধান করুন"
Text P[Sort Ascending]     "সাজান আরোহী"
Text P[Sort in Descending Order]     "অবরোহ ক্রমে সাজান"
Text P[Stock Determ. for All]     "স্টক ডিটারম। সবার জন্য"
Text P[Transport Equipment]     "পরিবহন যন্ত্রপাতি"
Text P[Vendor]     "বিক্রেতা"
Text P[Where]     "কোথায়"
Text S[TS_GOHEAD]     "TS_GOHEAD"
Text S[TS_GOITEM]     "TS_GOITEM"
Text T[Table]     "টেবিল"
Text X[SUB_DEBUG]     "SUB_DEBUG"
